phase,bsc,search_bits,audit_bits,protocol_seeds,reuse_rate_mean,reuse_rate_seed_sd,reuse_rate_seed_min,reuse_rate_seed_max,bad_reuse_rate_mean,bad_reuse_rate_seed_sd,bad_reuse_rate_seed_min,bad_reuse_rate_seed_max,identity_precision_among_reuses_mean,identity_precision_among_reuses_seed_sd,identity_precision_among_reuses_seed_min,identity_precision_among_reuses_seed_max,mean_protocol_bits_mean,mean_protocol_bits_seed_sd,mean_protocol_bits_seed_min,mean_protocol_bits_seed_max,mean_completion_bits_mean,mean_completion_bits_seed_sd,mean_completion_bits_seed_min,mean_completion_bits_seed_max,saving_vs_always_refresh_mean,saving_vs_always_refresh_seed_sd,saving_vs_always_refresh_seed_min,saving_vs_always_refresh_seed_max
cal_tune,0.0,128,896,5,0.7928000000000001,0.022387496510329175,0.762,0.812,0.0,0.0,0.0,0.0,0.992959258863342,0.003620892964950024,0.9876847290640394,0.9975186104218362,1944.0,0.0,1944.0,1944.0,2829.1584,95.63938509212605,2747.136,2960.736,0.3377438202247191,0.022387496510329154,0.3069438202247191,0.35694382022471915
cal_tune,0.0,256,768,5,0.8555999999999999,0.005176871642217918,0.85,0.862,0.0,0.0,0.0,0.0,0.9943792631908248,0.002691860289145563,0.9906103286384976,0.9976798143851509,1944.0,0.0,1944.0,1944.0,2560.8767999999995,22.115595655554948,2533.536,2584.8,0.4005438202247191,0.005176871642217918,0.3949438202247191,0.4069438202247191
cal_tune,0.0,384,640,5,0.8427999999999999,0.004604345773288539,0.838,0.85,0.0004,0.0008944271909999159,0.0,0.002,0.9966790339892515,0.002117616577954464,0.9928909952606635,0.9976470588235294,1944.0,0.0,1944.0,1944.0,2615.5584000000003,19.669765143488647,2584.8,2636.0640000000003,0.3877438202247191,0.004604345773288547,0.38294382022471907,0.3949438202247191
cal_tune,0.0,512,512,5,0.8151999999999999,0.008555699854482929,0.802,0.824,0.0,0.0,0.0,0.0,0.9970573991640774,0.001088913405459909,0.9951100244498777,0.9975728155339806,1944.0,0.0,1944.0,1944.0,2733.4656,36.54994977835122,2695.872,2789.8559999999998,0.36014382022471914,0.008555699854482967,0.34694382022471915,0.36894382022471917
cal_tune,0.0,640,384,5,0.7664000000000002,0.004335896677735764,0.762,0.772,0.0,0.0,0.0,0.0,0.9979138901728675,0.0011662550922258482,0.9973753280839895,1.0,1944.0,0.0,1944.0,1944.0,2941.9392,18.522950607287125,2918.016,2960.736,0.31134382022471907,0.004335896677735764,0.3069438202247191,0.3169438202247191
cal_tune,0.0,768,256,5,0.6708000000000001,0.015006665185843234,0.654,0.69,0.0,0.0,0.0,0.0,0.9982368164657167,0.0016097937916987888,0.9970238095238095,1.0,1944.0,0.0,1944.0,1944.0,3350.3424,64.10847367392257,3268.3199999999997,3422.112,0.2157438202247191,0.015006665185843291,0.19894382022471913,0.23494382022471916
cal_tune,0.0,896,128,5,0.4715999999999999,0.025899806949087473,0.442,0.502,0.0,0.0,0.0,0.0,0.9990950226244344,0.0020235909298640556,0.995475113122172,1.0,1944.0,0.0,1944.0,1944.0,4201.3248,110.64397528650181,4071.456,4327.776,0.016543820224719098,0.025899806949087514,-0.01305617977528084,0.0469438202247191
cal_tune,0.05,128,896,5,0.714,0.019849433241279225,0.69,0.736,0.0,0.0,0.0,0.0,0.9943481109123853,0.0029424308889630345,0.991304347826087,0.9972602739726028,1944.0,0.0,1944.0,1944.0,3165.792,84.79677880674474,3071.808,3268.3199999999997,0.25894382022471907,0.019849433241279194,0.23494382022471916,0.2809438202247191
cal_tune,0.05,256,768,5,0.8024000000000001,0.00931665175908166,0.79,0.816,0.0,0.0,0.0,0.0,0.9970084561354197,0.0011161645870073466,0.9950124688279302,0.9975490196078431,1944.0,0.0,1944.0,1944.0,2788.1471999999994,39.80073631479704,2730.048,2841.12,0.3473438202247191,0.009316651759081708,0.33494382022471914,0.36094382022471916
cal_tune,0.05,384,640,5,0.7824000000000001,0.010620734437881411,0.77,0.798,0.0,0.0,0.0,0.0,0.9969344817739204,0.0011317007073066087,0.9949109414758269,0.9974937343358395,1944.0,0.0,1944.0,1944.0,2873.5872,45.37177751862933,2806.944,2926.56,0.3273438202247191,0.010620734437881413,0.3149438202247191,0.34294382022471914
cal_tune,0.05,512,512,5,0.74,0.007874007874011818,0.732,0.75,0.0,0.0,0.0,0.0,0.9983768339460146,0.0014818353152896123,0.9972677595628415,1.0,1944.0,0.0,1944.0,1944.0,3054.72,33.63776163777831,3012.0,3088.8959999999997,0.28494382022471915,0.007874007874011761,0.2769438202247192,0.2949438202247191
cal_tune,0.05,640,384,5,0.6887999999999999,0.01712308383440316,0.668,0.712,0.0,0.0,0.0,0.0,0.9982751658431374,0.0015753488951542516,0.9970501474926253,1.0,1944.0,0.0,1944.0,1944.0,3273.4464,73.14981414057033,3174.3360000000002,3362.304,0.23374382022471907,0.017123083834403193,0.21294382022471903,0.25694382022471907
cal_tune,0.05,768,256,5,0.5776,0.023638950907347786,0.538,0.596,0.0,0.0,0.0,0.0,0.9986228637796583,0.0018859495255858993,0.9965156794425087,1.0,1944.0,0.0,1944.0,1944.0,3748.492799999999,100.98559827618983,3669.888,3917.6639999999998,0.12254382022471914,0.023638950907347814,0.08294382022471913,0.14094382022471907
cal_tune,0.05,896,128,5,0.36639999999999995,0.017742604092973492,0.336,0.38,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1944.0,0.0,1944.0,1944.0,4650.7392,75.79640468518298,4592.639999999999,4780.608,-0.08865617977528087,0.017742604092973558,-0.11905617977528093,-0.07505617977528067
