phase,protocol_seed,bsc,search_bits,audit_bits,sessions,audit_boundary,exact_boundary_null_probability,reuse_rate,bad_reuse_rate,identity_precision_among_reuses,mean_protocol_bits,mean_completion_bits,saving_vs_always_refresh
cal_tune,14611438597939087046,0.05,384,640,500,132,0.007985058453755176,0.77,0.0,0.9974025974025974,1944.0,2926.56,0.3149438202247191
cal_tune,14611438597939087046,0.05,512,512,500,103,0.007743199725327457,0.732,0.0,1.0,1944.0,3088.8959999999997,0.2769438202247192
cal_tune,14611438597939087046,0.05,640,384,500,75,0.009190237117569038,0.678,0.0,0.9970501474926253,1944.0,3319.584,0.22294382022471915
cal_tune,14611438597939087046,0.05,768,256,500,47,0.00922862518491879,0.538,0.0,1.0,1944.0,3917.6639999999998,0.08294382022471913
cal_tune,14611438597939087046,0.05,896,128,500,20,0.00865201140889796,0.38,0.0,1.0,1944.0,4592.639999999999,-0.07505617977528067
cal_tune,17838361416203552926,0.0,128,896,500,167,0.008535728601900366,0.762,0.0,0.994750656167979,1944.0,2960.736,0.3069438202247191
cal_tune,17838361416203552926,0.0,256,768,500,141,0.008307522884450153,0.854,0.0,0.9953161592505855,1944.0,2567.712,0.3989438202247191
cal_tune,17838361416203552926,0.0,384,640,500,115,0.007626615894839194,0.84,0.0,0.9976190476190476,1944.0,2627.52,0.38494382022471907
cal_tune,17838361416203552926,0.0,512,512,500,90,0.008624518674130315,0.824,0.0,0.9975728155339806,1944.0,2695.872,0.36894382022471917
cal_tune,17838361416203552926,0.0,640,384,500,65,0.008911537588509797,0.764,0.0,1.0,1944.0,2952.192,0.3089438202247191
cal_tune,17838361416203552926,0.0,768,256,500,40,0.007289693379133514,0.654,0.0,1.0,1944.0,3422.112,0.19894382022471913
cal_tune,17838361416203552926,0.0,896,128,500,17,0.009044669070198887,0.45,0.0,1.0,1944.0,4293.6,-0.0050561797752810556
cal_tune,17838361416203552926,0.05,128,896,500,191,0.008850993369756106,0.69,0.0,0.991304347826087,1944.0,3268.3199999999997,0.23494382022471916
cal_tune,17838361416203552926,0.05,256,768,500,162,0.009719658202633178,0.802,0.0,0.9950124688279302,1944.0,2789.8559999999998,0.34694382022471915
cal_tune,17838361416203552926,0.05,384,640,500,132,0.007985058453755176,0.786,0.0,0.9949109414758269,1944.0,2858.208,0.33094382022471913
cal_tune,17838361416203552926,0.05,512,512,500,103,0.007743199725327457,0.75,0.0,1.0,1944.0,3012.0,0.2949438202247191
cal_tune,17838361416203552926,0.05,640,384,500,75,0.009190237117569038,0.688,0.0,1.0,1944.0,3276.864,0.23294382022471904
cal_tune,17838361416203552926,0.05,768,256,500,47,0.00922862518491879,0.592,0.0,1.0,1944.0,3686.9759999999997,0.13694382022471918
cal_tune,17838361416203552926,0.05,896,128,500,20,0.00865201140889796,0.374,0.0,1.0,1944.0,4618.272,-0.0810561797752809
cal_tune,15742982603362453269,0.0,128,896,500,167,0.008535728601900366,0.808,0.0,0.9925742574257426,1944.0,2764.224,0.35294382022471904
cal_tune,15742982603362453269,0.0,256,768,500,141,0.008307522884450153,0.85,0.0,0.9929411764705882,1944.0,2584.8,0.3949438202247191
cal_tune,15742982603362453269,0.0,384,640,500,115,0.007626615894839194,0.844,0.002,0.9928909952606635,1944.0,2610.432,0.3889438202247192
cal_tune,15742982603362453269,0.0,512,512,500,90,0.008624518674130315,0.812,0.0,0.9975369458128078,1944.0,2747.136,0.35694382022471915
cal_tune,15742982603362453269,0.0,640,384,500,65,0.008911537588509797,0.764,0.0,0.9973821989528796,1944.0,2952.192,0.3089438202247191
cal_tune,15742982603362453269,0.0,768,256,500,40,0.007289693379133514,0.672,0.0,0.9970238095238095,1944.0,3345.2160000000003,0.21694382022471903
cal_tune,15742982603362453269,0.0,896,128,500,17,0.009044669070198887,0.472,0.0,1.0,1944.0,4199.616,0.016943820224719075
cal_tune,15742982603362453269,0.05,128,896,500,191,0.008850993369756106,0.698,0.0,0.9914040114613181,1944.0,3234.1440000000002,0.24294382022471905
cal_tune,15742982603362453269,0.05,256,768,500,162,0.009719658202633178,0.816,0.0,0.9975490196078431,1944.0,2730.048,0.36094382022471916
cal_tune,15742982603362453269,0.05,384,640,500,132,0.007985058453755176,0.798,0.0,0.9974937343358395,1944.0,2806.944,0.34294382022471914
cal_tune,15742982603362453269,0.05,512,512,500,103,0.007743199725327457,0.742,0.0,0.9973045822102425,1944.0,3046.176,0.2869438202247191
cal_tune,15742982603362453269,0.05,640,384,500,75,0.009190237117569038,0.698,0.0,0.997134670487106,1944.0,3234.1440000000002,0.24294382022471905
cal_tune,15742982603362453269,0.05,768,256,500,47,0.00922862518491879,0.588,0.0,0.9965986394557823,1944.0,3704.064,0.13294382022471918
cal_tune,15742982603362453269,0.05,896,128,500,20,0.00865201140889796,0.376,0.0,1.0,1944.0,4609.728,-0.0790561797752809
