phase,protocol_seed,bsc,search_bits,audit_bits,sessions,audit_boundary,exact_boundary_null_probability,reuse_rate,bad_reuse_rate,identity_precision_among_reuses,mean_protocol_bits,mean_completion_bits,saving_vs_always_refresh
calibration_disjoint_evaluation,13181815969110816250,0.0,256,768,500,141,0.008307522884450153,0.88,0.0,1.0,1944.0,2456.64,0.4249438202247191
calibration_disjoint_evaluation,13181815969110816250,0.05,256,768,500,162,0.009719658202633178,0.83,0.0,1.0,1944.0,2670.24,0.37494382022471917
calibration_disjoint_evaluation,14673129866313320424,0.0,256,768,500,141,0.008307522884450153,0.856,0.0,0.9976635514018691,1944.0,2559.168,0.4009438202247191
calibration_disjoint_evaluation,14673129866313320424,0.05,256,768,500,162,0.009719658202633178,0.844,0.0,0.9976303317535545,1944.0,2610.432,0.3889438202247192
calibration_disjoint_evaluation,13231421562932395684,0.0,256,768,500,141,0.008307522884450153,0.868,0.0,0.9976958525345622,1944.0,2507.904,0.4129438202247191
calibration_disjoint_evaluation,13231421562932395684,0.05,256,768,500,162,0.009719658202633178,0.818,0.0,0.9975550122249389,1944.0,2721.504,0.36294382022471916
calibration_disjoint_evaluation,5635005200607147554,0.0,256,768,500,141,0.008307522884450153,0.868,0.0,0.9976958525345622,1944.0,2507.904,0.4129438202247191
calibration_disjoint_evaluation,5635005200607147554,0.05,256,768,500,162,0.009719658202633178,0.824,0.0,0.9927184466019418,1944.0,2695.872,0.36894382022471917
calibration_disjoint_evaluation,17148364466832244007,0.0,256,768,500,141,0.008307522884450153,0.868,0.0,0.9930875576036866,1944.0,2507.904,0.4129438202247191
calibration_disjoint_evaluation,17148364466832244007,0.05,256,768,500,162,0.009719658202633178,0.836,0.0,0.9976076555023924,1944.0,2644.608,0.38094382022471907
