protocol_seed,bsc,method,sessions,certification_rate,direct_output_rate,reuse_rate,fallback_rate,false_certification_rate,bad_reuse_rate,candidate_identity_rate_among_certified,candidate_identity_rate_among_direct_outputs,candidate_identity_rate_among_reuses,candidate_good_rate_among_certified,completion_verifier_good_rate,service_completion_rate,mean_protocol_bits,mean_protocol_forward_bits,mean_protocol_reverse_bits,mean_fallback_bits,mean_completion_forward_bits,mean_completion_bits,saving_vs_always_refresh,mean_audit_bits,mean_attempts,mean_logical_round_trips
7915450270055424108,0.0,screened512_heuristic,500,0.0,0.0,0.824,0.176,0.0,0.0,,,0.9975728155339806,,1.0,1.0,808.0,656.0,152.0,751.872,1407.872,1559.872,0.6348614232209737,512.0,1.0,1.0
7915450270055424108,0.0,sentrysem1,500,0.536,0.0,0.536,0.464,0.0,0.0,0.996268656716418,,0.996268656716418,1.0,1.0,1.0,2075.328,1305.984,769.344,1982.208,3288.192,4057.536,0.050202247191011184,418.816,1.0,4.272
7915450270055424108,0.0,sentrysem3,500,0.748,0.0,0.748,0.252,0.0,0.0,0.9973262032085561,,0.9973262032085561,1.0,1.0,1.0,3667.776,2256.608,1411.168,1076.544,3333.152,4744.32,-0.11056179775280883,796.672,1.71,7.934
7915450270055424108,0.0,split256_256,500,0.704,0.0,0.704,0.296,0.0,0.0,1.0,,1.0,1.0,1.0,1.0,1432.0,1008.0,424.0,1264.512,2272.512,2696.512,0.3687940074906366,256.0,1.0,2.0
7915450270055424108,0.0,split512_512,500,0.822,0.0,0.822,0.178,0.0,0.0,1.0,,1.0,1.0,1.0,1.0,1944.0,1520.0,424.0,760.416,2280.416,2704.416,0.36694382022471905,512.0,1.0,2.0
7915450270055424108,0.05,bonferroni1024,500,0.666,0.0,0.666,0.334,0.0,0.0,1.0,,1.0,1.0,1.0,1.0,1320.0,1168.0,152.0,1426.848,2594.848,2746.848,0.35701123595505624,1024.0,1.0,1.0
7915450270055424108,0.05,bonferroni512,500,0.412,0.0,0.412,0.588,0.0,0.0,1.0,,1.0,1.0,1.0,1.0,808.0,656.0,152.0,2511.936,3167.936,3319.936,0.2228614232209738,512.0,1.0,1.0
7915450270055424108,0.05,int8_fallback,500,0.0,0.0,0.0,1.0,0.0,0.0,,,,,1.0,1.0,0.0,0.0,0.0,4272.0,4272.0,4272.0,0.0,0.0,0.0,0.0
7915450270055424108,0.05,proposal64_unverified,500,0.0,1.0,1.0,0.0,0.0,0.478,,0.51,0.51,,0.522,1.0,208.0,208.0,0.0,0.0,208.0,208.0,0.951310861423221,0.0,1.0,0.0
7915450270055424108,0.05,screened1024_heuristic,500,0.0,0.0,0.886,0.114,0.0,0.0,,,1.0,,1.0,1.0,1320.0,1168.0,152.0,487.008,1655.008,1807.008,0.5770112359550561,1024.0,1.0,1.0
7915450270055424108,0.05,screened512_heuristic,500,0.0,0.0,0.766,0.234,0.0,0.0,,,1.0,,1.0,1.0,808.0,656.0,152.0,999.648,1655.648,1807.648,0.5768614232209738,512.0,1.0,1.0
7915450270055424108,0.05,sentrysem1,500,0.438,0.0,0.438,0.562,0.0,0.0,0.9908675799086758,,0.9908675799086758,1.0,1.0,1.0,2278.848,1436.544,842.304,2400.864,3837.408,4679.712,-0.09543820224719113,480.256,1.0,4.752
7915450270055424108,0.05,sentrysem3,500,0.646,0.0,0.646,0.354,0.0,0.0,1.0,,1.0,1.0,1.0,1.0,4480.496,2756.192,1724.304,1512.288,4268.48,5992.784,-0.4028052434456928,1010.432,1.928,9.822
7915450270055424108,0.05,split256_256,500,0.62,0.0,0.62,0.38,0.0,0.0,0.9967741935483871,,0.9967741935483871,1.0,1.0,1.0,1432.0,1008.0,424.0,1623.36,2631.36,3055.36,0.28479400749063666,256.0,1.0,2.0
7915450270055424108,0.05,split512_512,500,0.788,0.0,0.788,0.212,0.002,0.002,0.9974619289340102,,0.9974619289340102,0.9974619289340102,0.998,1.0,1944.0,1520.0,424.0,905.664,2425.664,2849.664,0.332943820224719,512.0,1.0,2.0
14611438597939087046,0.0,bonferroni1024,500,0.798,0.0,0.798,0.202,0.0,0.0,0.9974937343358395,,0.9974937343358395,1.0,1.0,1.0,1320.0,1168.0,152.0,862.944,2030.944,2182.944,0.48901123595505613,1024.0,1.0,1.0
14611438597939087046,0.0,bonferroni512,500,0.594,0.0,0.594,0.406,0.0,0.0,1.0,,1.0,1.0,1.0,1.0,808.0,656.0,152.0,1734.432,2390.432,2542.432,0.40486142322097385,512.0,1.0,1.0
14611438597939087046,0.0,int8_fallback,500,0.0,0.0,0.0,1.0,0.0,0.0,,,,,1.0,1.0,0.0,0.0,0.0,4272.0,4272.0,4272.0,0.0,0.0,0.0,0.0
14611438597939087046,0.0,proposal64_unverified,500,0.0,1.0,1.0,0.0,0.0,0.402,,0.584,0.584,,0.598,1.0,208.0,208.0,0.0,0.0,208.0,208.0,0.951310861423221,0.0,1.0,0.0
14611438597939087046,0.0,screened1024_heuristic,500,0.0,0.0,0.912,0.088,0.0,0.0,,,0.9978070175438597,,1.0,1.0,1320.0,1168.0,152.0,375.936,1543.936,1695.936,0.6030112359550561,1024.0,1.0,1.0
14611438597939087046,0.0,screened512_heuristic,500,0.0,0.0,0.86,0.14,0.0,0.002,,,0.9976744186046511,,0.998,1.0,808.0,656.0,152.0,598.08,1254.08,1406.08,0.6708614232209738,512.0,1.0,1.0
14611438597939087046,0.0,sentrysem1,500,0.534,0.0,0.534,0.466,0.0,0.0,0.9962546816479401,,0.9962546816479401,1.0,1.0,1.0,2041.408,1284.224,757.184,1990.752,3274.976,4032.16,0.05614232209737835,408.576,1.0,4.192
14611438597939087046,0.0,sentrysem3,500,0.744,0.0,0.744,0.256,0.0,0.0,0.9973118279569892,,0.9973118279569892,1.0,1.0,1.0,3741.536,2300.928,1440.608,1093.632,3394.56,4835.168,-0.13182771535580518,814.592,1.74,8.104
14611438597939087046,0.0,split256_256,500,0.676,0.0,0.676,0.324,0.002,0.002,0.9970414201183432,,0.9970414201183432,0.9970414201183432,0.998,1.0,1432.0,1008.0,424.0,1384.128,2392.128,2816.128,0.3407940074906367,256.0,1.0,2.0
14611438597939087046,0.0,split512_512,500,0.83,0.0,0.83,0.17,0.0,0.0,1.0,,1.0,1.0,1.0,1.0,1944.0,1520.0,424.0,726.24,2246.24,2670.24,0.37494382022471917,512.0,1.0,2.0
14611438597939087046,0.05,bonferroni1024,500,0.722,0.0,0.722,0.278,0.0,0.0,0.997229916897507,,0.997229916897507,1.0,1.0,1.0,1320.0,1168.0,152.0,1187.616,2355.616,2507.616,0.4130112359550562,1024.0,1.0,1.0
